# param.mu, C, rho1, rho2, EG

-2.828417124746190e+00 9.756268449665798e-06 5.172547245695272e-06 5.215450239813737e-06 4.934526540251225e-06
-2.728417124746190e+00 3.360212654293152e-02 1.818865080784013e-02 1.814547000293007e-02 1.596519217341966e-02
-2.628417124746190e+00 7.567610180746595e-02 4.175526880847102e-02 4.170615848802846e-02 3.400962057347320e-02
-2.528417124746190e+00 1.161753876104299e-01 6.531205378081241e-02 6.526052351141554e-02 4.889558261352742e-02
-2.428417124746190e+00 1.537642570680021e-01 8.805573740617542e-02 8.804749341735163e-02 6.006179365948999e-02
-2.328417124746190e+00 1.884739259550337e-01 1.099396428133344e-01 1.099192955881205e-01 6.748773264619892e-02
-2.228417124746190e+00 2.203912390937543e-01 1.309463020135676e-01 1.309474534367396e-01 7.141302566102348e-02
-2.128417124746190e+00 2.498042627764610e-01 1.511931234037962e-01 1.511235671480546e-01 7.192374785711603e-02
-2.028417124746190e+00 2.770124758702157e-01 1.708246820432988e-01 1.707638527645890e-01 6.942954094042425e-02
-1.928417124746190e+00 3.019048520161213e-01 1.896919029630285e-01 1.896955498965823e-01 6.390377848803436e-02
-1.828417124746190e+00 3.251459789838367e-01 2.082450313366840e-01 2.081722915842339e-01 5.554630315094850e-02
-1.728417124746190e+00 3.464425498200096e-01 2.262035647790820e-01 2.262371433515459e-01 4.456058411262548e-02
-1.628417124746190e+00 3.661719313859079e-01 2.438322448650008e-01 2.437733787919499e-01 3.084074245685436e-02
-1.528417124746190e+00 3.842335219142610e-01 2.609930794181823e-01 2.609536492620225e-01 1.464263724577830e-02
-1.428417124746190e+00 4.009121937472457e-01 2.779107718600474e-01 2.779337630478066e-01 -3.923267567765620e-03
-1.328417124746190e+00 4.162082247186842e-01 2.945534768607860e-01 2.944994603508429e-01 -2.495422013169912e-02
-1.228417124746190e+00 4.301133943629492e-01 3.108663066578064e-01 3.108223736997954e-01 -4.826688375687999e-02
-1.128417124746190e+00 4.427819947669562e-01 3.269876893845172e-01 3.268897867652093e-01 -7.385872398037124e-02
-1.028417124746190e+00 4.543175576821748e-01 3.430332950684186e-01 3.429247945791993e-01 -1.015920345562785e-01
