# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-2.828417124746190e+00 -9.756268449665798e-06 5.172547245695272e-06 -4.514144580014719e-08 2.393991761336786e-08
-2.818417124746190e+00 -1.388588008589579e-03 7.381485392463552e-04 -1.379409968006157e-03 7.330893473021930e-04
-2.808417124746190e+00 -3.676100557212104e-03 1.958001906152088e-03 -3.767471604104931e-03 2.006414715872336e-03
-2.798417124746190e+00 -6.768973036438735e-03 3.613062389723235e-03 -6.696137276494106e-03 3.573500728950470e-03
-2.788417124746190e+00 -9.827997806486650e-03 5.255771188720458e-03 -9.988032197151506e-03 5.341222168669908e-03
-2.778417124746190e+00 -1.356677700373069e-02 7.270609159722608e-03 -1.354015389032028e-02 7.255519429016061e-03
-2.768417124746190e+00 -1.743360021612004e-02 9.362156984505678e-03 -1.728438153417821e-02 9.280610406424507e-03
-2.758417124746190e+00 -2.107568896311088e-02 1.133916219587896e-02 -2.117247760890679e-02 1.139111576531672e-02
-2.748417124746190e+00 -2.512447951020615e-02 1.354471044270789e-02 -2.516879735284538e-02 1.356823907080507e-02
-2.738417124746190e+00 -2.931878324272373e-02 1.583796246214166e-02 -2.924621942789395e-02 1.579763814856135e-02
-2.728417124746190e+00 -3.360212654293152e-02 1.818865080784013e-02 -3.338366230498597e-02 1.806812753044392e-02
-2.718417124746190e+00 -3.755709955806791e-02 2.036704913736067e-02 -3.756447068112009e-02 2.037083619561190e-02
-2.708417124746190e+00 -4.168860434972543e-02 2.265076456970576e-02 -4.177531763050119e-02 2.269863485308999e-02
-2.698417124746190e+00 -4.606224628677447e-02 2.507730759926493e-02 -4.600543068339440e-02 2.504573234133225e-02
-2.688417124746190e+00 -5.033525192841618e-02 2.745695567938820e-02 -5.024603069727204e-02 2.740738302857577e-02
-2.678417124746190e+00 -5.476338071385829e-02 2.993234582740759e-02 -5.448991560394376e-02 2.977966973661187e-02
-2.668417124746190e+00 -5.880517762526143e-02 3.220024861025459e-02 -5.873114571182601e-02 3.215933957954255e-02
-2.658417124746190e+00 -6.290719167968883e-02 3.451024498756611e-02 -6.296480194242937e-02 3.454367779251121e-02
-2.648417124746190e+00 -6.718409130977608e-02 3.692772361515462e-02 -6.718679752917392e-02 3.693040940300338e-02
-2.638417124746190e+00 -7.149904582421097e-02 3.937607987404450e-02 -7.139372959791888e-02 3.931762167117835e-02
-2.628417124746190e+00 -7.567610180746595e-02 4.175526880847102e-02 -7.558276095358636e-02 4.170370226170560e-02
-2.618417124746190e+00 -7.971411605427202e-02 4.406386292391130e-02 -7.975152505089854e-02 4.408728949228140e-02
-2.608417124746190e+00 -8.403689174940451e-02 4.654472592969935e-02 -8.389804897004866e-02 4.646723196369264e-02
-2.598417124746190e+00 -8.801934483682790e-02 4.883913654438405e-02 -8.802069052232914e-02 4.884255555519609e-02
-2.588417124746190e+00 -9.209183088489822e-02 5.119429319695597e-02 -9.211808654944054e-02 5.121243625743878e-02
-2.578417124746190e+00 -9.625235854767930e-02 5.360973798267742e-02 -9.618911016596653e-02 5.357617767188980e-02
-2.568417124746190e+00 -1.003576452431154e-01 5.600251561384797e-02 -1.002328352022854e-01 5.593319226984805e-02
-2.558417124746190e+00 -1.043398028194337e-01 5.833259922592029e-02 -1.042485064857229e-01 5.828298570198474e-02
-2.548417124746190e+00 -1.082098501835567e-01 6.060577419832817e-02 -1.082355148861023e-01 6.062514359931556e-02
-2.538417124746190e+00 -1.123790302689470e-01 6.306435652698211e-02 -1.121933762725190e-01 6.295932042124304e-02
-2.528417124746190e+00 -1.161753876104299e-01 6.531205378081241e-02 -1.161217136986089e-01 6.528522999494309e-02
-2.518417124746190e+00 -1.200092565087256e-01 6.759073859546419e-02 -1.200202422663332e-01 6.760263745940580e-02
-2.508417124746190e+00 -1.239139585314207e-01 6.992072447055679e-02 -1.238887562225145e-01 6.991135238164702e-02
-2.498417124746190e+00 -1.278293412383766e-01 7.226653094680699e-02 -1.277271179247519e-01 7.221122285547144e-02
-2.488417124746190e+00 -1.316645659322188e-01 7.457363383362978e-02 -1.315352483789125e-01 7.450213042728861e-02
-2.478417124746190e+00 -1.353983471100779e-01 7.682872899609029e-02 -1.353131191029391e-01 7.678398572083046e-02
-2.468417124746190e+00 -1.390417510107242e-01 7.903795194115411e-02 -1.390607451140112e-01 7.905672465464776e-02
-2.458417124746190e+00 -1.429934608356925e-01 8.144397987737377e-02 -1.427781788703859e-01 8.132030516411923e-02
-2.448417124746190e+00 -1.465622087937041e-01 8.362587898745868e-02 -1.464655050271435e-01 8.357470435424816e-02
-2.438417124746190e+00 -1.501421475333665e-01 8.582334571050630e-02 -1.501228358879027e-01 8.581991602142976e-02
-2.428417124746190e+00 -1.537642570680021e-01 8.805573740617542e-02 -1.537503074533281e-01 8.805594849215292e-02
-2.418417124746190e+00 -1.574177057117491e-01 9.031679013110741e-02 -1.573480759827497e-01 9.028282273469353e-02
