# a=0
0 5.389496448515151e-01
0 1 5.262053251240411e-01
0 2 5.395792521829778e-01
0 3 5.271578630414702e-01
0 4 5.409000578458636e-01
0 5 5.283189191448618e-01
0 6 5.425448965854940e-01
0 7 5.295927161179272e-01
0 8 5.217863072130193e-01
0 9 5.307544453970658e-01
0 10 5.173369807194161e-01
0 11 5.320236317939202e-01
0 12 5.169292138374375e-01
0 13 5.335152226025583e-01
0 14 5.175395125114465e-01
0 15 5.352307406899763e-01
0 16 5.184596907721812e-01
0 17 5.371678859539304e-01
0 18 5.195423153301523e-01
0 19 5.393441383377248e-01
0 20 5.207736685041233e-01
0 21 5.417949245347947e-01
0 22 5.221748881762893e-01
0 23 5.445712141448502e-01
0 24 5.237816622538394e-01
0 25 5.477406855861249e-01
0 26 5.256427777151431e-01
0 27 5.513922528561948e-01
0 28 5.278243160814475e-01
0 29 5.556440416513135e-01
0 30 5.304176150999096e-01
0 31 5.133029206313313e-01
0 32 5.330236435682500e-01
0 33 5.030621947844434e-01
0 34 5.361900858309561e-01
0 35 5.006764223856168e-01
0 36 5.403467559449017e-01
0 37 5.001425913624167e-01
0 38 5.458149437099102e-01
0 39 5.000284321961452e-01
0 40 5.531240614538561e-01
0 41 5.000052858499175e-01
0 42 5.632819065264811e-01
0 43 5.000008938358447e-01
0 44 5.783206776332566e-01
0 45 5.000001311669655e-01
0 46 6.029135439550937e-01
0 47 5.000000150212092e-01
0 48 6.507283932964064e-01
0 49 5.000000009559201e-01
0 50 7.876820992714357e-01
0 

# a=1
0 5.321552453633733e-01
0 1 5.292281024532020e-01
0 2 5.322823032742168e-01
0 3 5.294578640220095e-01
0 4 5.325446906178346e-01
0 5 5.297256556697346e-01
0 6 5.328713687093278e-01
0 7 5.300048833942639e-01
0 8 5.284005468647497e-01
0 9 5.302471194120770e-01
0 10 5.274855252699917e-01
0 11 5.305038688507934e-01
0 12 5.274472042740419e-01
0 13 5.308019950696617e-01
0 14 5.276202664847041e-01
0 15 5.311424452372916e-01
0 16 5.278476265291663e-01
0 17 5.315257756308538e-01
0 18 5.280963356109649e-01
0 19 5.319578000525249e-01
0 20 5.283632826082296e-01
0 21 5.324494089677845e-01
0 22 5.286531703275787e-01
0 23 5.330164137246491e-01
0 24 5.289739905220273e-01
0 25 5.336805080300390e-01
0 26 5.293367864958464e-01
0 27 5.344715007662335e-01
0 28 5.297567838839350e-01
0 29 5.354312119973075e-01
0 30 5.302555445480537e-01
0 31 5.271086246354696e-01
0 32 5.307618775148444e-01
0 33 5.249183576733423e-01
0 34 5.313987738411474e-01
0 35 5.243251626951893e-01
0 36 5.322833064575321e-01
0 37 5.241164237187685e-01
0 38 5.335287259276269e-01
0 39 5.239709564282958e-01
0 40 5.353370939411940e-01
0 41 5.237948602095217e-01
0 42 5.381306551042953e-01
0 43 5.235404519891462e-01
0 44 5.429005660566955e-01
0 45 5.231441596311661e-01
0 46 5.525176383648494e-01
0 47 5.224582763771302e-01
0 48 5.794306561136675e-01
0 49 5.209921142598563e-01
0 50 7.950564300878370e-01
0 

# a=2
0 5.300681377409465e-01
0 1 5.300475427572412e-01
0 2 5.300879054839394e-01
0 3 5.300530025408341e-01
0 4 5.301168654110948e-01
0 5 5.300559567100817e-01
0 6 5.301514697281853e-01
0 7 5.300569299961371e-01
0 8 5.300042416745837e-01
0 9 5.300556263065563e-01
0 10 5.299919717939059e-01
0 11 5.300557346624974e-01
0 12 5.300127110626551e-01
0 13 5.300599943598509e-01
0 14 5.300408628818143e-01
0 15 5.300699214344781e-01
0 16 5.300700378474139e-01
0 17 5.300867621551477e-01
0 18 5.300983138788737e-01
0 19 5.301118623906651e-01
0 20 5.301245389591031e-01
0 21 5.301469299527453e-01
0 22 5.301474752167662e-01
0 23 5.301943863886746e-01
0 24 5.301657549425873e-01
0 25 5.302578799258696e-01
0 26 5.301781948669808e-01
0 27 5.303430705328869e-01
0 28 5.301843486268391e-01
0 29 5.300019885567099e-01
0 30 5.301802242873872e-01
0 31 5.299426115354313e-01
0 32 5.301718757180287e-01
0 33 5.299702996585178e-01
0 34 5.301669491836790e-01
0 35 5.300346027339514e-01
0 36 5.301743986383457e-01
0 37 5.301286397194271e-01
0 38 5.302097016640263e-01
0 39 5.302625483181865e-01
0 40 5.303048614384078e-01
0 41 5.304616778627020e-01
0 42 5.305372237509400e-01
0 43 5.307822908110718e-01
0 44 5.311342464026527e-01
0 45 5.313747466328624e-01
0 46 5.329909229430130e-01
0 47 5.328143777971677e-01
0 48 5.421998591165708e-01
0 49 5.399806426976834e-01
0 50 7.946840937836644e-01
0 

# a=3
0 5.300244262971793e-01
0 1 5.300383034385920e-01
0 2 5.300383219970982e-01
0 3 5.300481117542726e-01
0 4 5.300504208826061e-01
0 5 5.300575877280789e-01
0 6 5.300625139900357e-01
0 7 5.300664805836297e-01
0 8 5.300707515201932e-01
0 9 5.300755006179730e-01
0 10 5.300823851864243e-01
0 11 5.300855639732071e-01
0 12 5.300954819006301e-01
0 13 5.300972032661464e-01
0 14 5.301097753951498e-01
0 15 5.301105498980383e-01
0 16 5.301254070542850e-01
0 17 5.301255669392129e-01
0 18 5.301425738053593e-01
0 19 5.301422245102676e-01
0 20 5.301613802428233e-01
0 21 5.301605857182505e-01
0 22 5.301816816749667e-01
0 23 5.301808592463532e-01
0 24 5.302028718097794e-01
0 25 5.302034708840213e-01
0 26 5.302237798784519e-01
0 27 5.302291974865647e-01
0 28 5.302431731369484e-01
0 29 5.302435225293258e-01
0 30 5.302609296195897e-01
0 31 5.302707801407860e-01
0 32 5.302794468277697e-01
0 33 5.303076928038927e-01
