# a=0
0 6.422082102984105e-01
0 1 6.545705450807672e-01
0 2 6.477228787303095e-01
0 3 6.570421931238993e-01
0 4 6.540591992165110e-01
0 5 6.443063664042132e-01
0 6 6.556850004613051e-01
0 7 6.495198807556348e-01
0 8 6.596242041692469e-01
0 9 6.564495915866554e-01
0 10 6.456615538360619e-01
0 11 6.583338592660146e-01
0 12 6.516532018446425e-01
0 13 6.404784877910386e-01
0 14 6.539608261557224e-01
0 15 6.459535532595967e-01
0 16 6.585564629703818e-01
0 17 6.543213231130827e-01
0 18 6.409595008933728e-01
0 19 6.567709965762947e-01
0 20 6.480523098725183e-01
0 21 6.623807203622160e-01
0 22 6.579710337358223e-01
0 23 6.422518875629935e-01
0 24 6.608264820590273e-01
0 25 6.509757442665884e-01
0 26 6.340736404506879e-01
0 27 6.546641730567483e-01
0 28 6.419900691813221e-01
0 29 6.618061179996571e-01
0 30 6.551470432643719e-01
0 31 6.332759511053246e-01
0 32 6.594814938887034e-01
0 33 6.445242155297005e-01
0 34 6.691024587660881e-01
0 35 6.619863329956732e-01
0 36 6.330254483156804e-01
0 37 6.678030132949979e-01
0 38 6.490545769189656e-01
0 39 6.143856374682861e-01
0 40 6.579262601526132e-01
0 41 6.281093504807423e-01
0 42 6.742103152420419e-01
0 43 6.589459738925204e-01
0 44 5.988197579162764e-01
0 45 6.754076322520751e-01
0 46 6.244245910582096e-01
0 47 7.095954422693141e-01
0 48 7.003300588555113e-01
0 49 5.195181103748078e-01
0 50 8.160622888233746e-01
0 

# a=1
0 6.505082048297337e-01
0 1 6.533729393324363e-01
0 2 6.518565625282401e-01
0 3 6.539620066703391e-01
0 4 6.532978118689092e-01
0 5 6.511819782518724e-01
0 6 6.536448112669107e-01
0 7 6.523671472622422e-01
0 8 6.545600820626283e-01
0 9 6.538424530178342e-01
0 10 6.516458367765787e-01
0 11 6.542601543865032e-01
0 12 6.529023901994793e-01
0 13 6.506563074578888e-01
0 14 6.533427071681066e-01
0 15 6.518460500038950e-01
0 16 6.543493826855438e-01
0 17 6.535207638120077e-01
0 18 6.509464924666677e-01
0 19 6.540072739733527e-01
0 20 6.523974607286364e-01
0 21 6.552617476938458e-01
0 22 6.543431133731236e-01
0 23 6.514023210404218e-01
0 24 6.549778705255951e-01
0 25 6.531151165340351e-01
0 26 6.498868610208087e-01
0 27 6.537702770213688e-01
0 28 6.515514842677914e-01
0 29 6.553743843433095e-01
0 30 6.541286492420652e-01
0 31 6.499820701430356e-01
0 32 6.550099151926199e-01
0 33 6.523129827009110e-01
0 34 6.574252333717258e-01
0 35 6.558729624418040e-01
0 36 6.503184118241836e-01
0 37 6.574016083634949e-01
0 38 6.536967478043572e-01
0 39 6.464535855092080e-01
0 40 6.553247943880619e-01
0 41 6.498484974265701e-01
0 42 6.601888452006606e-01
0 43 6.570510737849173e-01
0 44 6.433285025815033e-01
0 45 6.614441936869910e-01
0 46 6.506434810688448e-01
0 47 6.799921545292934e-01
0 48 6.761122504513930e-01
0 49 6.192049259139808e-01
0 50 7.740893424320019e-01
0 

# a=2
0 6.525599231993549e-01
0 1 6.525972411674155e-01
0 2 6.526293466301183e-01
0 3 6.527070872641564e-01
0 4 6.526666132316419e-01
0 5 6.526721785378242e-01
0 6 6.527175132352037e-01
0 7 6.527289961669562e-01
0 8 6.526775450424114e-01
0 9 6.527335470513851e-01
0 10 6.527800264047312e-01
0 11 6.528321269889010e-01
0 12 6.528309534846756e-01
0 13 6.528074403714673e-01
0 14 6.528570265462209e-01
0 15 6.529024826383363e-01
0 16 6.529957187475207e-01
0 17 6.529496821819063e-01
0 18 6.529550535567705e-01
0 19 6.530160239619327e-01
0 20 6.530368356942257e-01
0 21 6.529553413210842e-01
0 22 6.530391113411634e-01
0 23 6.531122440092764e-01
0 24 6.531929948044556e-01
0 25 6.531967896132245e-01
0 26 6.531502208794114e-01
0 27 6.532364574007206e-01
0 28 6.533267954251680e-01
0 29 6.535057872768723e-01
0 30 6.534192793852314e-01
0 31 6.534282286266607e-01
0 32 6.535600149390457e-01
0 33 6.536228316224186e-01
0 34 6.533941216283577e-01
0 35 6.536085385611581e-01
0 36 6.538219560510948e-01
0 37 6.540574386381832e-01
0 38 6.540965252372166e-01
0 39 6.538896645331189e-01
0 40 6.541981147366562e-01
0 41 6.546551296471872e-01
0 42 6.555820128582537e-01
0 43 6.551374349239732e-01
0 44 6.551848211575932e-01
0 45 6.561595681044319e-01
0 46 6.573812735589453e-01
0 47 6.519170140675856e-01
0 48 6.536830525441526e-01
0 49 6.663967204080379e-01
0 50 6.966825289938150e-01
0 

# a=3
0 6.525668600156311e-01
0 1 6.526062721621555e-01
0 2 6.526373597675510e-01
0 3 6.526612505686776e-01
0 4 6.526887607533189e-01
0 5 6.527227992639835e-01
0 6 6.527500538621824e-01
0 7 6.527829064925803e-01
0 8 6.528098166973432e-01
0 9 6.528386499933839e-01
0 10 6.528766577229309e-01
0 11 6.529054048033324e-01
0 12 6.529365299210905e-01
0 13 6.529707658045159e-01
0 14 6.530029411812417e-01
0 15 6.530455416573524e-01
0 16 6.530737366408964e-01
0 17 6.531093277433064e-01
0 18 6.531551823370261e-01
0 19 6.531919788723207e-01
0 20 6.532396472328477e-01
0 21 6.532771599012506e-01
0 22 6.533194645563628e-01
0 23 6.533809553444252e-01
0 24 6.534257808485709e-01
0 25 6.534772822558704e-01
0 26 6.535357673877993e-01
0 27 6.535917413953227e-01
0 28 6.536768846985472e-01
0 29 6.537391049423207e-01
0 30 6.537987690474212e-01
0 31 6.538992365930298e-01
0 32 6.539792804705362e-01
0 33 6.540984629620727e-01
0 34 6.541808204894153e-01
0 35 6.542840672483050e-01
0 36 6.544846634643964e-01
0 37 6.546089903008128e-01
0 38 6.547762568174686e-01
0 39 6.549829538368210e-01
